title,description
TRN,Turin Airport
IAM,In Aménas Airport
DUA,Eaker Field
TDT,Tanda Tula Airport
SNR,Saint-Nazaire-Montoir Airport
YNA,Natashquan Airport
WMH,Ozark Regional Airport
KSC,Košice Airport
EBB,Entebbe International Airport
DDD,Dhaalu Atoll Airport
YQX,Gander International Airport
HDH,Dillingham Airfield
KRV,Kerio Valley Airport
YFC,Fredericton Airport
SUJ,Satu Mare Airport
DEI,Denis Island Airport
LGS,Comodoro D.R. Salomón Airport
TKB,Tekadu Airport
KSZ,Kotlas Airport
LWL,Wells Municipal Airport/Harriet Field
MUB,Maun Airport
TIL,Cheadle Airport
EVH,Evans Head Aerodrome
LWB,Greenbrier Valley Airport
BVO,Bartlesville Municipal Airport
RTA,Rotuma Airport
ZBR,Konarak Airport
ISJ,Isla Mujeres Airport
QUN,Camp Page Airport (A-306)
COP,Cooperstown-Westville Airport
GVR,Coronel Altino Machado de Oliveira Airport
SGX,Songea Airport
NJK,El Centro NAF Airport (Vraciu Field)
SBC,Selbang Airport
YFE,Forestville Airport
IZT,Ixtepec Airport
NGS,Nagasaki Airport
ERQ,Elrose Airport
GPI,Juan Casiano Airport
LXS,Limnos Airport
JNU,Juneau International Airport
MSU,Moshoeshoe I International Airport
AZO,Kalamazoo Battle Creek International Airport
PWE,Pevek Airport
COH,Cooch Behar Airport
ENN,Nenana Municipal Airport
AAO,Anaco Airport
UNN,Ranong Airport
AZT,Zapatoca Airport
BJW,Bajawa Soa Airport
AIN,Wainwright Airport
BJR,Bahir Dar Airport
MTZ,Bar Yehuda Airfield
KED,Kaédi Airport
RIG,Rio Grande Airport
BPE,Qinhuangdao Beidaihe Airport
ARB,Ann Arbor Municipal Airport
MRE,Mara Serena Lodge Airstrip
END,Vance Air Force Base
LGG,Liège Airport
ACK,Nantucket Memorial Airport
DTW,Detroit Metropolitan Wayne County Airport
MPZ,Mount Pleasant Municipal Airport
YZW,Teslin Airport
CIT,Shymkent Airport
GXQ,Teniente Vidal Airport
IEJ,Ie Jima Airport
ARG,Walnut Ridge Regional Airport
PCC,Puerto Rico Airport
BUZ,Bushehr Airport
OTV,Ontong Java Atoll Airstrip
GGT,Exuma International Airport
LNA,Palm Beach County Park Airport
KSQ,Karshi Khanabad Airport
RMT,Rimatara Airport
HGO,Korhogo Airport
MZU,Muzaffarpur Airport
ZZO,Zonalnoye Airport
GMS,Antônio Guerreiro Airport
AXA,Clayton J Lloyd International Airport
KCC,Coffman Cove Seaplane Base
VAT,Vatomandry Airport
DFI,Defiance Memorial Airport
DYM,Diamantina Lakes Airport
SZI,Zaysan Airport
SRM,Sandringham Airport
DNZ,Çardak Airport
LAY,Ladysmith Airport
IBP,Iberia Airport
HNA,Hanamaki Airport
BUS,Batumi International Airport
LBY,La Baule-Escoublac Airport
AGE,Wangerooge Airport
MKG,Muskegon County Airport
ESE,Ensenada International Airport
EVE,"Harstad/Narvik Airport, Evenes"
BEI,Beica Airport
PVL,Pike County-Hatcher Field
AGE,Wangerooge Airport
CIH,Changzhi Airport
LMM,Valle del Fuerte International Airport
OBX,Obo Airport
ISJ,Isla Mujeres Airport
SRO,Santana Ramos Airport
AYU,Aiyura Airport
TBU,Fua'amotu International Airport
QLD,Blida Airport
SIV,Sullivan County Airport
JSH,Sitia Airport
XMI,Masasi Airport
YAK,Yakutat Airport
AUQ,Hiva Oa-Atuona Airport
APL,Nampula Airport
KNW,New Stuyahok Airport
FOU,Fougamou Airport
MFT,Machu Pichu Airport
SWU,Suwon Airport
ODW,AJ Eisenberg Airport
RPR,Raipur Airport
GRP,Gurupi Airport
NDE,Mandera Airport
BCQ,Brak Airport
DFP,Drumduff Airport
PTB,Dinwiddie County Airport
AET,Allakaket Airport
TBY,Tshabong Airport
TBO,Tabora Airport
OKH,RAF Cottesmore
TNS,Tungsten (Cantung) Airport
KNM,Kaniama Airport
ERA,Erigavo Airport
PCF,Potchefstroom Airport
PNL,Pantelleria Airport
HIO,Portland Hillsboro Airport
USM,Samui Airport
MYQ,Mysore Airport
BWB,Barrow Island Airport
ZEL,Bella Bella (Campbell Island) Airport
ENT,Eniwetok Airport
MWF,Maewo-Naone Airport
FAV,Fakarava Airport
OMO,Mostar International Airport
FGU,Fangatau Airport
YKM,Yakima Air Terminal McAllister Field
HAN,Noi Bai International Airport
TVF,Thief River Falls Regional Airport
VLL,Valladolid Airport
MGN,Baracoa Airport
CKL,Chkalovskiy Air Base
OCS,Corisco International Airport
PBN,Porto Amboim Airport
MUJ,Mui River Airport
YNT,Yantai Laishan Airport
SGY,Skagway Airport
DLG,Dillingham Airport
KHN,Nanchang Changbei International Airport
TSC,Taisha Airport
ULN,Chinggis Khaan International Airport
AKD,Akola Airport
GQQ,Galion Municipal Airport
PKK,Pakhokku Airport
PKG,Pulau Pangkor Airport
VOZ,Voronezh International Airport
RHN,Skorpion Mine Airport
POR,Pori Airport
LDH,Lord Howe Island Airport
MPB,Miami Seaplane Base
XRH,RAAF Base Richmond
RSB,Roseberth Airport
BLT,Blackwater Airport
NIF,Camp Nifty Airport
TJG,Warukin Airport
ANU,V.C. Bird International Airport
POP,Gregorio Luperon International Airport
SBJ,São Mateus Airport
DRC,Dirico Airport
GBZ,Great Barrier Aerodrome
MIH,Mitchell Plateau Airport
FNH,Fincha Airport
YIP,Willow Run Airport
OCV,Aguas Claras Airport
ORF,Norfolk International Airport
PIH,Pocatello Regional Airport
TOE,Tozeur Nefta International Airport
PKO,Parakou Airport
EZE,Ministro Pistarini International Airport
LUU,Laura Airport
IBP,Iberia Airport
KNO,Kualanamu International Airport
POS,Piarco International Airport
GRG,Gardez Airport
KOT,Kotlik Airport
ZPH,Zephyrhills Municipal Airport
PEF,Peenemünde Airport
CPD,Coober Pedy Airport
FET,Fremont Municipal Airport
YFG,Fontanges Airport
AGR,Agra Airport
SNR,Saint-Nazaire-Montoir Airport
IMT,Ford Airport
PLQ,Palanga International Airport
LSC,La Florida Airport
0,São Gabriel Airport
YLG,Yalgoo Airport
QMH,Oum el Bouaghi airport
PNI,Pohnpei International Airport
RAQ,Sugimanuru Airport
PMZ,Palmar Sur Airport
JDH,Jodhpur Airport
IKI,Iki Airport
AAE,Rabah Bitat Airport
YPX,Puvirnituq Airport
RGA,Hermes Quijada International Airport
YTY,Yangzhou Taizhou Airport
PKE,Parkes Airport
FNI,Nîmes-Arles-Camargue Airport
AAZ,Quezaltenango Airport
GCM,Owen Roberts International Airport
KVC,King Cove Airport
ECV,Cuatro Vientos Airport
EAU,Chippewa Valley Regional Airport
BCI,Barcaldine Airport
KEY,Kericho Airport
SJD,Los Cabos International Airport
STS,Charles M. Schulz Sonoma County Airport
CCE,Capital International Airport
JHW,Chautauqua County-Jamestown Airport
ZEG,Senggo Airport
ALI,Alice International Airport
MAL,"Mangole Airport, Falabisahaya"
RAZ,Rawalakot Airport
YUD,Umiujaq Airport
KSP,Kosipe Airport
UNU,Dodge County Airport
GUS,Grissom Air Reserve Base
SGX,Songea Airport
WTK,Noatak Airport
GCC,Gillette Campbell County Airport
USU,Francisco B. Reyes Airport
PMF,Parma Airport
ZRZ,Zaraza Airport
UAB,İncirlik Air Base
CAH,Cà Mau Airport
AAH,Aachen-Merzbrück Airport
TVU,Matei Airport
CAZ,Cobar Airport
WPM,Wipim Airport
XYE,Ye Airport
PCN,Picton Aerodrome
GRP,Gurupi Airport
BHE,Woodbourne Airport
CAG,Cagliari Elmas Airport
KVE,Kitava Airport
NUP,Nunapitchuk Airport
FAL,Falcon State Airport
KIJ,Niigata Airport
MXR,Moussoro Airport
KSW,Kiryat Shmona Airport
HUE,Humera Airport
BJY,Batajnica Air Base
SQU,Saposoa Airport
OKE,Okierabu Airport
INS,Creech Air Force Base
UDN,Udine-Campoformido Air Base
VNE,Vannes-Meucon Airport
VAI,Vanimo Airport
CWE,Cairo West Airport
RLK,Bayannur Tianjitai Airport
APX,Arapongas Airport
GNU,Goodnews Airport
TMG,Tomanggong Airport
YMN,Makkovik Airport
LAA,Lamar Municipal Airport
KPE,Yapsiei Airport
BIW,Billiluna Airport
SAM,Salamo Airport
CNC,Coconut Island Airport
NMR,Nappa Merrie Airport
OXB,Osvaldo Vieira International Airport
MBQ,Mbarara Airport
BSD,Baoshan Yunduan Airport
MVW,Skagit Regional Airport
HIL,Shilavo Airport
ANX,Andøya Airport
MHP,Minsk 1 Airport
CAR,Caribou Municipal Airport
KTM,Tribhuvan International Airport
KAB,Kariba International Airport
OLA,Ørland Airport
USL,Useless Loop Airport
SKJ,Sitkinak Airport
LMI,Lumi Airport
NNL,Nondalton Airport
XBB,Blubber Bay Seaplane Base
DWO,Diyawanna Oya Seaplane Base
LBH,Palm Beach Seaplane Base
DYS,Dyess Air Force Base
WYA,Whyalla Airport
PTF,Malolo Lailai Island Airport
ARX,Asbury Park Neptune Air Terminal
CSY,Cheboksary Airport
EDM,La Roche-sur-Yon Airport
MBM,Mkambati Airport
URU,Uroubi Airport
NZL,Chengjisihan Airport
RYB,Staroselye Airport
POB,Pope Field
CCH,Chile Chico Airport
JLA,Quartz Creek Airport
UTG,Quthing Airport
USK,Usinsk Airport
ILE,Skylark Field
DEH,Decorah Municipal Airport
LVA,Laval-Entrammes Airport
UTC,Soesterberg Air Base
VAI,Vanimo Airport
GMQ,Golog Maqin Airport
GLX,Gamarmalamo Airport
DPU,Dumpu Airport
OAI,Bagram Air Base
DPA,Dupage Airport
RND,Randolph Air Force Base
YSU,Summerside Airport
SGL,Danilo Atienza Air Base
AHM,Ashland Municipal Sumner Parker Field
SDD,Lubango Airport
DYW,Daly Waters Airport
MHE,Mitchell Municipal Airport
PMA,Pemba Airport
JNB,OR Tambo International Airport
YQC,Quaqtaq Airport
YMN,Makkovik Airport
ODD,Oodnadatta Airport
YTD,Thicket Portage Airport
AAO,Anaco Airport
NNI,Namutoni Airport
LMO,RAF Lossiemouth
SYW,Sehwan Sharif Airport
YDE,Paradise River Airport
YZP,Sandspit Airport
OSO,Osborne Mine Airport
CMM,Carmelita Airport
0,Mombaça Airport
NUP,Nunapitchuk Airport
MIY,Mittebah Airport
BUC,Burketown Airport
GES,General Santos International Airport
ENB,Eneabba Airport
GTO,Jalaluddin Airport
CBK,Shalz Field
BAJ,Bali Airport
CCK,Cocos (Keeling) Islands Airport
YVQ,Norman Wells Airport
USL,Useless Loop Airport
GCY,Greeneville-Greene County Municipal Airport
INJ,Injune Airport
KUN,Kaunas International Airport
CBT,Catumbela Airport
TGS,Chokwé Airport
EUG,Mahlon Sweet Field
BOA,Boma Airport
AKN,King Salmon Airport
JSJ,Jiansanjiang Airport
0,Sarandi Airport
YQF,Red Deer Regional Airport
DEH,Decorah Municipal Airport
TTQ,Aerotortuguero Airport
HVN,Tweed New Haven Airport
VCD,Victoria River Downs Airport
OPO,Francisco de Sá Carneiro Airport
NTN,Normanton Airport
TIU,Timaru Airport
ZIH,Ixtapa Zihuatanejo International Airport
AMM,Queen Alia International Airport
ZAH,Zahedan International Airport
VEE,Venetie Airport
YYQ,Churchill Airport
PMZ,Palmar Sur Airport
MWF,Maewo-Naone Airport
EWI,Enarotali Airport
YSQ,Songyuan Chaganhu Airport
TKE,Tenakee Seaplane Base
CTX,Cortland County Chase Field
SHK,Sehonghong Airport
LFP,Lakefield Airport
AHT,Amchitka Army Airfield
PJA,Pajala Airport
BJT,Bentota River Waterdrome
BOU,Bourges Airport
KSK,Karlskoga Airport
IIA,Inishmaan Aerodrome
DHB,Deer Harbor SPB
YMD,Mould Bay Airport
ZAZ,Zaragoza Air Base
AIR,Aripuanã Airport
DLH,Duluth International Airport
BUA,Buka Airport
TGC,Tanjung Manis Airport
CRQ,Caravelas Airport
MHT,Manchester-Boston Regional Airport
XCR,Châlons-Vatry Airport
MYY,Miri Airport
AEE,Adareil Airport
SPW,Spencer Municipal Airport
MYX,Menyamya Airport
GMN,Greymouth Airport
IVC,Invercargill Airport
CTD,Alonso Valderrama Airport
KWT,Kwethluk Airport
CVI,Caleta Olivia Airport
WBR,Roben Hood Airport
ITB,Itaituba Airport
VIL,Dakhla Airport
WUT,Xinzhou Wutaishan Airport
MLN,Melilla Airport
WOW,Willow Airport
IGO,Chigorodó Airport
KWN,Quinhagak Airport
RCH,Rocha Airport
PRI,Praslin Airport
DTU,Wudalianchi Dedu Airport
ANM,Antsirabato Airport
ZIC,Victoria Airport
DLN,Dillon Airport
DNV,Vermilion Regional Airport
RHI,Rhinelander Oneida County Airport
HVR,Havre City County Airport
QLS,Lausanne-Blécherette Airport
MVL,Morrisville Stowe State Airport
BHI,Comandante Espora Airport
SOD,Sorocaba Airport
LUJ,Lusikisiki Airport
ITN,Itabuna Airport
ASX,John F Kennedy Memorial Airport
NSY,Sigonella Navy Air Base
RNO,Reno Tahoe International Airport
RRK,Rourkela Airport
ATR,Atar International Airport
RKE,Copenhagen Roskilde Airport
LLI,Lalibella Airport
RTI,David Constantijn Saudale Airport
SGP,Shay Gap Airport
PLN,Pellston Regional Airport of Emmet County Airport
MFS,Miraflores Airport
TUZ,Tucumã Airport
HGH,Hangzhou Xiaoshan International Airport
RIN,Ringi Cove Airport
HLF,Hultsfred Airport
IPH,Sultan Azlan Shah Airport
KOC,Koumac Airport
MSU,Moshoeshoe I International Airport
SJQ,Sesheke Airport
EOK,Keokuk Municipal Airport
BQA,Dr.Juan C. Angara Airport
IGB,Cabo F.A.A. H. R. Bordón Airport
MUZ,Musoma Airport
ANB,Anniston Regional Airport
MYV,Yuba County Airport
XIE,Xienglom Airport
YIC,Yichun Mingyueshan Airport
LUO,Luena Airport
VAG,Major Brigadeiro Trompowsky Airport
CCW,Cowell Airport
NRI,Grand Lake Regional Airport
EDR,Pormpuraaw Airport
JGS,Jinggangshan Airport
GTR,Golden Triangle Regional Airport
CIE,Collie Airport
LRB,Leribe Airport
SGZ,Songkhla Airport
SLT,Harriet Alexander Field
RNA,Ulawa Airport
AHM,Ashland Municipal Sumner Parker Field
RYB,Staroselye Airport
BNZ,Banz Airport
SVT,Savuti Airport
TMB,Kendall-Tamiami Executive Airport
OUA,Ouagadougou Airport
MSA,Muskrat Dam Airport
XDE,Diebougou Airport
IPU,Ipiaú Airport
MTB,Montelibano Airport
CBK,Shalz Field
EBB,Entebbe International Airport
EBN,Ebadon Airport
OBD,Obano Airport
HOF,Al Ahsa Airport
MWH,Grant County International Airport
DRO,Durango La Plata County Airport
SFC,St-François Airport
BFG,Bullfrog Basin Airport
GGD,Gregory Downs Airport
LNK,Lincoln Airport
YNJ,Yanji Chaoyangchuan Airport
CCC,Jardines Del Rey Airport
HFE,Hefei Luogang International Airport
VRI,Varandey Airport
OCE,Ocean City Municipal Airport
BPT,Southeast Texas Regional Airport
IDN,Indagen Airport
TMO,Tumeremo Airport
SUY,Suntar Airport
WUD,Wudinna Airport
EGN,Geneina Airport
KUY,Kamusi Airport
SNJ,San Julian Air Base
BCB,Virginia Tech Montgomery Executive Airport
MFW,Magaruque Airport
MCK,Mc Cook Ben Nelson Regional Airport
HMV,Hemavan Airport
TDA,Trinidad Airport
REP,Siem Reap International Airport
FOE,Topeka Regional Airport - Forbes Field
YUA,Yuanmou Air Base
NRB,Naval Station Mayport (Admiral David L. Mcdonald Field)
CRG,Jacksonville Executive at Craig Airport
GFN,Grafton Airport
PHX,Phoenix Sky Harbor International Airport
CMD,Cootamundra Airport
OLJ,North West Santo Airport
FSM,Fort Smith Regional Airport
DUM,Pinang Kampai Airport
NIP,Jacksonville Naval Air Station (Towers Field)
ULD,Prince Mangosuthu Buthelezi Airport
JEE,Jérémie Airport
PBI,Palm Beach International Airport
ALP,Aleppo International Airport
LST,Launceston Airport
OIR,Okushiri Airport
HLF,Hultsfred Airport
MFE,Mc Allen Miller International Airport
OUD,Angads Airport
RHV,Reid-Hillview Airport of Santa Clara County
PQQ,Port Macquarie Airport
PJB,Payson Airport
HUS,Hughes Airport
HMA,Khanty Mansiysk Airport
ANF,Andrés Sabella Gálvez International Airport
HHN,Frankfurt-Hahn Airport
KDE,Koroba Airport
CVI,Caleta Olivia Airport
ILU,Kilaguni Airport
IXB,Bagdogra Airport
LBD,Khudzhand Airport
MPZ,Mount Pleasant Municipal Airport
OYL,Moyale Airport
PLY,Plymouth Municipal Airport
BFO,Buffalo Range Airport
GMT,Granite Mountain Air Station
CUH,Cushing Municipal Airport
TLH,Tallahassee Regional Airport
JAL,El Lencero Airport
SPB,Charlotte Amalie Harbor Seaplane Base
PBV,Porto dos Gaúchos Airport
SFL,São Filipe Airport
CMI,University of Illinois Willard Airport
MIT,Shafter Airport - Minter Field
HOR,Horta Airport
GID,Gitega Airport
JAD,Perth Jandakot Airport
TIF,Ta’if Regional Airport
KCN,Chernofski Harbor Seaplane Base
AOC,Altenburg-Nobitz Airport
TBK,Timber Creek Airport
BCD,Bacolod-Silay Airport
XDA,Dax Seyresse Airport
ZOS,Cañal Bajo Carlos - Hott Siebert Airport
LEX,Blue Grass Airport
YLR,Leaf Rapids Airport
NGA,Young Airport
LMR,Lime Acres Finsch Mine Airport
RNT,Renton Municipal Airport
FUG,Fuyang Xiguan Airport
QPS,Campo Fontenelle Airport
IZA,Presidente Itamar Franco Airport
SPI,Abraham Lincoln Capital Airport
TDK,Taldykorgan Airport
TSE,Astana International Airport
DEN,Denver International Airport
PME,Fleetlands Heliport
JNI,Junin Airport
KDS,Kamaran Downs Airport
LYP,Faisalabad International Airport
SLY,Salekhard Airport
DBP,Debepare Airport
NGZ,Alameda Naval Air Station
JIQ,Qianjiang Wulingshan Airport
ATA,Comandante FAP German Arias Graziani Airport
OMF,King Hussein Air College
SDH,Santa Rosa de Copán Airport
VME,Villa Reynolds Airport
TAS,Tashkent International Airport
ZAG,Zagreb Airport
WLK,Selawik Airport
NLG,Nelson Lagoon Airport
SRB,Santa Rosa De Yacuma Airport
PIE,St Petersburg Clearwater International Airport
RAK,Menara Airport
HSN,Zhoushan Airport
BOZ,Bozoum Airport
EJH,Al Wajh Domestic Airport
LNQ,Loani Airport
PLJ,Placencia Airport
STB,Santa Bárbara del Zulia Airport
CEN,Ciudad Obregón International Airport
UJE,Ujae Atoll Airport
OIC,Lt Warren Eaton Airport
NML,Fort McMurray / Mildred Lake Airport
AKY,Sittwe Airport
BMH,Bomai Airport
NOB,Nosara Airport
VLR,Vallenar Airport
IUA,Canandaigua Airport
ZBM,Bromont (Roland Desourdy) Airport
ILI,Iliamna Airport
PLS,Providenciales Airport
MWC,Lawrence J Timmerman Airport
NCH,Nachingwea Airport
ZAZ,Zaragoza Air Base
CJT,San Antonio Copalar Airport
EJT,Enejit Airport
TVI,Thomasville Regional Airport
EAN,Phifer Airfield
TKB,Tekadu Airport
KZB,Zachar Bay Seaplane Base
WPA,Cabo 1° Juan Román Airport
WAF,Wana Airport
GUJ,Guaratinguetá Airport
ZCN,Celle Airport
SFL,São Filipe Airport
KIZ,Kikinonda Airport
JQA,Qaarsut Airport
PMG,Ponta Porã Airport
CLY,Calvi-Sainte-Catherine Airport
XDA,Dax Seyresse Airport
RDT,Richard Toll Airport
JBR,Jonesboro Municipal Airport
MKZ,Malacca Airport
XBJ,Birjand Airport
MEV,Minden-Tahoe Airport
GIY,Giyani Airport
YQC,Quaqtaq Airport
SMY,Simenti Airport
OMK,Omak Airport
HHE,Hachinohe Airport
XBO,Boulsa Airport
ONJ,Odate Noshiro Airport
0,Guaporé Airport
PKX,Beijing Daxing International Airport
VBV,Vanua Balavu Airport
WPA,Cabo 1° Juan Román Airport
DIK,Dickinson Theodore Roosevelt Regional Airport
SUX,Sioux Gateway Col. Bud Day Field
NSV,Noosa Airport
MJF,Mosjøen Airport (Kjærstad)
OVD,Asturias Airport
GUG,Guari Airport
SSK,Sturt Creek Airport
AXC,Aramac Airport
GCY,Greeneville-Greene County Municipal Airport
TSP,Tehachapi Municipal Airport
ABX,Albury Airport
0,Campo do Meio Airport
HAE,Lava Falls Heliport
YHF,Hearst René Fontaine Municipal Airport
OXD,Miami University Airport
AGN,Angoon Seaplane Base
KOQ,Köthen Airport
VRI,Varandey Airport
MXK,Mindik Airport
AIZ,Lee C Fine Memorial Airport
APA,Centennial Airport
LGM,Laiagam Airport
WUM,Wasum Airport
LUA,Lukla Airport
CIC,Chico Municipal Airport
IGN,Iligan Airport
GZP,Gazipaşa Airport
SOW,Show Low Regional Airport
HAJ,Hannover Airport
PWE,Pevek Airport
NYK,Nanyuki Airport
IDR,Devi Ahilyabai Holkar Airport
YBJ,Baie-Johan-Beetz Water Aerodrome
MGJ,Orange County Airport
TEE,Cheikh Larbi Tébessi Airport
YVC,La Ronge Airport
ENS,Twente Airport
CBH,Béchar Boudghene Ben Ali Lotfi Airport
YZD,Downsview Airport
XTG,Thargomindah Airport
CXM,Camaxilo Airport
HHP,Shun Tak Heliport
HAM,Hamburg Airport
CXI,Cassidy International Airport
SJL,São Gabriel da Cachoeira Airport
PBX,Fazenda Piraguassu Airport
BJC,Rocky Mountain Metropolitan Airport
DPB,Pampa Guanaco Airport
EKB,Ekibastuz Airport
ORE,Orléans-Bricy (BA 123) Air Base
FBG,Simmons Army Air Field
MTD,Mount Sanford Station Airport
VIH,Rolla National Airport
GBU,Khashm El Girba Airport
GFR,Granville Airport
CET,Cholet Le Pontreau Airport
CZX,Changzhou Benniu Airport
AAS,Apalapsili Airport
PRO,Perry Municipal Airport
DGR,Dargaville Aerodrome
DYS,Dyess Air Force Base
BLD,Boulder City Municipal Airport
RDU,Raleigh Durham International Airport
0,Campo do Meio Airport
ACV,California Redwood Coast-Humboldt County Airport
ETS,Enterprise Municipal Airport
BIX,Keesler Air Force Base
PPT,Faa'a International Airport
MSM,Masi Manimba Airport
ZJG,Jenpeg Airport
BQV,Bartlett Cove Seaplane Base
TAE,Daegu Airport
TOM,Timbuktu Airport
GAH,Gayndah Airport
SBS,Steamboat Springs Bob Adams Field
MNA,Melangguane Airport
MZZ,Marion Municipal Airport
MRF,Marfa Municipal Airport
XTO,Taroom Airport
AAO,Anaco Airport
OGA,Searle Field
TRC,Francisco Sarabia International Airport
SSW,Stuart Island Airpark
GVN,Maygatka Airport.
VCR,Carora Airport
ILU,Kilaguni Airport
HOP,Campbell AAF (Fort Campbell) Air Field
CTN,Cooktown Airport
BRM,Barquisimeto International Airport
FLP,Marion County Regional Airport
BCQ,Brak Airport
TYT,Treinta y Tres Airport
TJG,Warukin Airport
CEJ,Chernihiv Shestovitsa Airport
BWE,Braunschweig-Wolfsburg Airport
BBN,Bario Airport
HBT,Hambantota Seaplane Base
IZA,Zona da Mata Regional Airport
AYI,Yari Airport
GUR,Gurney Airport
MLK,Malta Airport
CLC,Clear Lake Metroport
YZR,Chris Hadfield Airport
PEI,Matecaña International Airport
LYB,Edward Bodden Airfield
RMI,Federico Fellini International Airport
PMX,Metropolitan Airport
KSL,Kassala Airport
DLR,Dalnerechensk Airport
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport
CFS,Coffs Harbour Airport
FAJ,Diego Jimenez Torres Airport
LWC,Lawrence Municipal Airport
JRB,Downtown-Manhattan/Wall St Heliport
VAP,Rodelillo Airport
FNG,Fada N'gourma Airport
IGG,Igiugig Airport
NGO,Chubu Centrair International Airport
NVK,Narvik Framnes Airport
SXM,Princess Juliana International Airport
TST,Trang Airport
